D,Usage
2018-01-01,374.0
2018-01-02,374.4
2018-01-03,366.9
2018-01-04,368.6
2018-01-05,324.6
2018-01-06,289.9
2018-01-07,296.9
2018-01-08,303.6
2018-01-09,310.2
2018-01-10,313.8
2018-01-11,315.3
2018-01-12,305.0
2018-01-13,302.2
2018-01-14,292.6
2018-01-15,303.1
2018-01-16,295.0
2018-01-17,292.1
2018-01-18,294.9
2018-01-19,88.9
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,0.0
2018-01-23,190.9
2018-01-24,292.6
2018-01-25,301.2
2018-01-26,291.0
2018-01-27,289.7
2018-01-28,289.1
2018-01-29,290.0
2018-01-30,302.0
2018-01-31,309.5
2018-02-01,308.5
2018-02-02,300.1
2018-02-03,304.9
2018-02-04,303.3
2018-02-05,289.0
2018-02-06,288.8
2018-02-07,288.5
2018-02-08,281.0
2018-02-09,306.2
2018-02-10,315.4
2018-02-11,311.0
2018-02-12,288.0
2018-02-13,288.0
2018-02-14,288.0
2018-02-15,288.0
2018-02-16,288.0
2018-02-17,288.0
2018-02-18,288.0
2018-02-19,302.2
2018-02-20,316.6
2018-02-21,316.7
2018-02-22,316.1
2018-02-23,316.4
2018-02-24,316.3
2018-02-25,316.1
2018-02-26,316.3
2018-02-27,316.7
2018-02-28,316.7
2018-02-29,295.7
2018-03-01,316.7
2018-03-02,316.7
2018-03-03,316.7
2018-03-04,316.7
2018-03-05,316.7
2018-03-06,316.4
2018-03-07,315.9
2018-03-08,316.1
2018-03-09,315.9
2018-03-10,195.4
2018-03-11,316.7
2018-03-12,316.7
2018-03-13,316.7
2018-03-14,316.5
2018-03-15,316.5
2018-03-16,316.2
2018-03-17,316.2
2018-03-18,313.0
2018-03-19,304.9
2018-03-20,295.5
2018-03-21,279.7
2018-03-22,145.6
2018-03-23,231.6
2018-03-24,231.6
2018-03-25,231.2
2018-03-26,232.8
2018-03-27,231.7
2018-03-28,231.7
2018-03-29,232.4
2018-03-30,232.5
2018-03-31,232.3
2018-04-01,232.9
2018-04-02,232.6
2018-04-03,231.5
2018-04-04,234.5
2018-04-05,235.1
2018-04-06,246.4
2018-04-07,253.0
2018-04-08,256.3
2018-04-09,258.4
2018-04-10,258.4
2018-04-11,289.4
2018-04-12,316.8
2018-04-13,344.4
2018-04-14,373.9
2018-04-15,350.1
2018-04-16,363.5
2018-04-17,378.0
2018-04-18,381.5
2018-04-19,375.8
2018-04-20,360.4
2018-04-21,378.2
2018-04-22,378.3
2018-04-23,376.2
2018-04-24,375.5
2018-04-25,374.4
2018-04-26,225.2
2018-04-27,0.0
2018-04-28,0.0
2018-04-29,0.0
2018-04-30,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,0.0
2018-05-05,0.0
2018-05-06,0.0
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
