DT,DTW
2015-01-01 06:00:00,26.96
2015-01-02 06:00:00,26.97
2015-01-03 06:00:00,27.06
2015-01-04 06:00:00,26.99
2015-01-05 06:00:00,27.03
2015-01-06 06:00:00,27.03
2015-01-07 06:00:00,27.01
2015-01-08 06:00:00,27
2015-01-09 06:00:00,26.97
2015-01-10 06:00:00,26.98
2015-01-11 06:00:00,27.01
2015-01-12 06:00:00,27
2015-01-13 06:00:00,26.98
2015-01-14 06:00:00,26.96
2015-01-15 06:00:00,26.9
2015-01-16 06:00:00,26.88
2015-01-17 06:00:00,26.9
2015-01-18 06:00:00,26.89
2015-01-19 06:00:00,26.95
2015-01-20 06:00:00,26.97
2015-01-21 06:00:00,26.95
2015-01-22 06:00:00,26.96
2015-01-23 06:00:00,26.96
2015-01-24 06:00:00,26.96
2015-01-25 06:00:00,26.96
2015-01-26 06:00:00,26.98
2015-01-27 06:00:00,26.99
2015-01-28 06:00:00,27.04
2015-01-29 06:00:00,27.04
2015-01-30 06:00:00,27.04
2015-01-31 06:00:00,27.04
2015-02-01 06:00:00,27.03
2015-02-02 06:00:00,27.02
2015-02-03 06:00:00,27.03
2015-02-04 06:00:00,27.02
2015-02-05 06:00:00,27
2015-02-06 06:00:00,26.98
2015-02-07 06:00:00,26.98
2015-02-08 06:00:00,27.06
2015-02-09 06:00:00,27.05
2015-02-10 06:00:00,27.08
2015-02-11 06:00:00,27.04
2015-02-12 06:00:00,27.04
2015-02-13 06:00:00,27.02
2015-02-14 06:00:00,27.03
2015-02-15 06:00:00,27.04
2015-02-16 06:00:00,27.02
2015-02-17 06:00:00,26.99
2015-02-18 06:00:00,26.96
2015-02-19 06:00:00,26.97
2015-02-20 06:00:00,26.99
2015-02-21 06:00:00,27.02
2015-02-22 06:00:00,26.99
2015-02-23 06:00:00,26.96
2015-02-24 06:00:00,26.96
2015-02-25 06:00:00,27
2015-02-26 06:00:00,26.98
2015-02-27 06:00:00,26.99
2015-02-28 06:00:00,26.98
2015-03-01 06:00:00,26.95
2015-03-02 06:00:00,26.98
2015-03-03 06:00:00,26.97
2015-03-04 06:00:00,26.95
2015-03-05 06:00:00,26.96
2015-03-06 06:00:00,26.97
2015-03-07 06:00:00,26.97
2015-03-08 06:00:00,29.97
2015-03-09 06:00:00,31.2
2015-03-10 06:00:00,31.93
2015-03-11 06:00:00,32.31
2015-03-12 06:00:00,32.46
2015-03-13 06:00:00,32.48
2015-03-14 06:00:00,32.52
2015-03-15 06:00:00,33.57
2015-03-16 06:00:00,34.02
2015-03-17 06:00:00,34.13
2015-03-18 06:00:00,34.2
2015-03-19 06:00:00,34.32
2015-03-20 06:00:00,34.48
2015-03-21 06:00:00,34.47
2015-03-22 06:00:00,34.57
2015-03-23 06:00:00,34.6
2015-03-24 06:00:00,34.6
2015-03-25 06:00:00,34.61
2015-03-26 06:00:00,34.69
2015-03-27 06:00:00,34.63
2015-03-28 06:00:00,34.77
2015-03-29 06:00:00,34.72
2015-03-30 06:00:00,34.77
2015-03-31 06:00:00,34.82
2015-04-01 06:00:00,35
2015-04-02 06:00:00,34.72
2015-04-03 06:00:00,34.88
2015-04-04 06:00:00,34.8
2015-04-05 06:00:00,35.02
2015-04-06 06:00:00,35.04
2015-04-07 06:00:00,35.03
2015-04-08 06:00:00,35.23
2015-04-09 06:00:00,35.29
2015-04-10 06:00:00,35.22
2015-04-11 06:00:00,35.17
2015-04-12 06:00:00,35.3
2015-04-13 06:00:00,35.29
2015-04-14 06:00:00,35.33
2015-04-15 06:00:00,35.38
2015-04-16 06:00:00,35.36
2015-04-17 06:00:00,35.35
2015-04-18 06:00:00,35.35
2015-04-19 06:00:00,35.34
2015-04-20 06:00:00,35.23
